,col_name,feature_importance_vals
418,"fBodyAccJerk-bandsEnergy()-17,32.2",27.189590454101562
157,"tBodyGyro-correlation()-X,Y",27.082475662231445
372,fBodyAccJerk-meanFreq()-X,26.5606632232666
88,tBodyAccJerk-mad()-Z,25.498233795166016
269,fBodyAcc-std()-Y,25.20638656616211
120,tBodyGyro-mean()-X,23.9669189453125
160,tBodyGyroJerk-mean()-X,23.011642456054688
557,"angle(tBodyGyroJerkMean,gravityMean)",22.31015396118164
371,fBodyAccJerk-maxInds-Z,21.938297271728516
49,tGravityAcc-max()-X,21.58005714416504
38,"tBodyAcc-correlation()-X,Z",21.407878875732422
76,"tGravityAcc-arCoeff()-Z,4",21.261821746826172
502,fBodyAccMag-mean(),20.675594329833984
489,"fBodyGyro-bandsEnergy()-9,16.2",20.559965133666992
542,fBodyBodyGyroJerkMag-std(),20.34726905822754
233,tBodyAccJerkMag-iqr(),18.904748916625977
454,fBodyGyro-skewness()-X,18.901836395263672
497,"fBodyGyro-bandsEnergy()-17,32.2",17.513153076171875
199,"tBodyGyroJerk-correlation()-Y,Z",17.47945785522461
85,tBodyAccJerk-std()-Z,17.446128845214844
166,tBodyGyroJerk-mad()-X,17.092548370361328
28,"tBodyAcc-arCoeff()-X,4",16.806108474731445
391,"fBodyAccJerk-bandsEnergy()-33,48",16.421512603759766
184,tBodyGyroJerk-entropy()-Z,15.94955825805664
127,tBodyGyro-mad()-Y,15.852206230163574
332,"fBodyAcc-bandsEnergy()-17,24.2",15.629859924316406
527,fBodyBodyAccJerkMag-kurtosis(),14.73737907409668
112,"tBodyAccJerk-arCoeff()-Y,4",13.71727180480957
136,tBodyGyro-energy()-X,13.624032974243164
197,"tBodyGyroJerk-correlation()-X,Y",13.533044815063477
105,"tBodyAccJerk-arCoeff()-X,1",13.086527824401855
499,"fBodyGyro-bandsEnergy()-49,64.2",12.772379875183105
298,fBodyAcc-skewness()-Y,12.481887817382812
123,tBodyGyro-std()-X,12.440841674804688
3,tBodyAcc-std()-X,11.951066017150879
119,"tBodyAccJerk-correlation()-Y,Z",11.93503475189209
158,"tBodyGyro-correlation()-X,Z",11.931605339050293
